ใน	naj˧
เมอร์กิต	mɤː˧ kit̚˨˩
ฮ็อด	hɔt̚˦˥
บุนด์	bun˧
คาธอลิค	kʰaːt̚˥˩ ʔa˨˩ lik̚˨˩
วันทยาหัตถ์	wan˧ tʰa˦˥ jaː˧ hat̚˨˩
ลเฟน	
ลัสต	lat̚˦˥ tɔː˧
กลุ่มเลือด	klum˨˩ lɯat̚˥˩
เร็ซ	ret̚˦˥
หิมวา	him˩˩˦ ma˦˥ waː˧
ฮงกิ	hoŋ˧ kiʔ˨˩
ทัลบอท	tʰan˧ bɔːt̚˨˩
ฟคัส	fɔː˧ kʰat̚˦˥
อั๊ต	ʔat̚˦˥
กกส์	kok̚˨˩
ทเชอร์	tʰa˦˥ tɕʰɤː˧
ลักไก่	lak̚˦˥ kaj˨˩
สฤณี	sri˨˩ niː˧
หน้าบาน	naː˥˩ baːn˧
โฟรเบนี	foː˧ ra˦˥ beː˧ niː˧
แม่คู่	mɛː˥˩ kʰuː˥˩
เฟอร์นันด้า	fɤː˧ nan˧ daː˥˩
เสิร์ต	sɤːt̚˨˩
เพื่อนเกลอ	pʰɯan˥˩ klɤː˧
ลืด	lɯːt̚˥˩
หนังเรียด	naŋ˩˩˦ riat̚˥˩
แปลงสาร	plɛːŋ˧ saːn˩˩˦
หนู่เจิ้น	nuː˨˩ tɕɤːn˥˩
สาละวน	saː˩˩˦ la˦˥ won˧
งโจ	ŋɔː˧ tɕoː˧
บอร์เจ็น	bɔː˧ tɕen˧
ตชัม	
บึ่ง	bɯŋ˨˩
นภัสพร	na˦˥ pʰat̚˦˥ pʰɔːn˧
เซี่ยงหงี	siaŋ˥˩ ŋiː˩˩˦
บวชหน้าไฟ	buat̚˨˩ naː˥˩ faj˧
แอ็สแต	ʔɛt̚˨˩ tɛː˧
ออกแขก	ʔɔːk̚˨˩ kʰɛːk̚˨˩
ดอฟฟ์	dɔːp̚˨˩
คุยหฐาน	kʰuj˧ ha˨˩ tʰaːn˩˩˦
ค่าโทรศัพท์	kʰaː˥˩ tʰoː˧ ra˦˥ sap̚˨˩
ษิน	sin˩˩˦
มัททิ	mat̚˦˥ tʰa˦˥ tʰiʔ˦˥
ลทัล	
ไข้กาฬ	kʰaj˥˩ kaːn˧
สะเก็ดแผล	sa˨˩ ket̚˨˩ pʰɛːn˩˩˦
จวื่อ	tɕwɯː˨˩
ผู้แสดงนำฝ่ายหญิง	pʰuː˥˩ sa˨˩ dɛːŋ˧ nam˧ faːj˨˩ jiŋ˩˩˦
เนบราสกา	neː˧ braːt̚˨˩ kaː˧
รคส์	rok̚˦˥
ฬห	la˦˥ haʔ˨˩
นอนซม	nɔːn˧ som˧
ผอก	pʰɔːk̚˨˩
งคอ	ŋɔː˧ kʰɔː˧
เถือก	tʰɯak̚˨˩
มิจฉาจาร	mit̚˦˥ tɕʰaː˩˩˦ tɕaːn˧
ซืน	sɯːn˧
ความเคร่งเครียด	kʰwaːm˧ kʰreːŋ˥˩ kʰriat̚˥˩
หางกิ่ว	haːŋ˩˩˦ kiw˨˩
งานบุคลากร	ŋaːn˧ bu˨˩ kʰlaː˧ kɔːn˧
ลเฟต	
เลพิ	leː˧ pʰiʔ˦˥
จอแสดงภาพ	tɕɔː˧ sa˨˩ dɛːŋ˧ pʰaːp̚˥˩
เบซัล	beː˧ san˧
พอร์ด	pʰɔːt̚˥˩
ครบเกณฑ์	kʰrop̚˦˥ keːn˧
ตาลอ	taː˧ lɔː˧
ศะศิ	sa˨˩ siʔ˨˩
เว่ยกง	weːj˥˩ koŋ˧
วิเทโศบาย	wi˦˥ tʰeː˧ soː˩˩˦ baːj˧
กรรฐ์	kan˧
วินด์มิลล์	win˧ min˧
กระษาปณ์	kra˨˩ saːp̚˨˩
อัลเกรีย	ʔan˧ kria˧
ล่อตา	lɔː˥˩ taː˧
ลเต้	la˦˥ teː˥˩
ซืม	sɯːm˧
สลอร์ก	sa˨˩ lɔːk̚˨˩
อเนช	ʔa˨˩ neːt̚˨˩
จั๋น	tɕan˩˩˦
อนส์เตอร์	ʔon˧ tɤː˥˩
ทเกอร์	tʰa˦˥ kɤː˧
เทวธิดา	tʰeː˧ wa˦˥ tʰi˦˥ daː˧
สเตอร์เล	sa˨˩ tɤː˧ leː˧
บัรเฆา	ban˧ kʰaw˧
กัฟเวิร์น	kap̚˨˩ wɤːn˧
เพรสซิเด้นท์	pʰreːt̚˥˩ si˦˥ deːn˥˩
ขันสู้	kʰan˩˩˦ suː˥˩
รถสองล้อ	rot̚˦˥ sɔːŋ˩˩˦ lɔː˦˥
สุดหล้าฟ้าเขียว	sut̚˨˩ laː˥˩ faː˦˥ kʰiaw˩˩˦
ตาฝาด	taː˧ faːt̚˨˩
ออร์จ	ʔɔːt̚˨˩
ลปิส	la˦˥ pit̚˨˩
แท๊ป	
ววษ	wuat̚˥˩
ธมิกส์	tʰa˦˥ mik̚˦˥
ธานัท	tʰaː˧ nat̚˦˥
รถไฟเล็ก	rot̚˦˥ faj˧ lek̚˦˥
ส้นรองเท้า	son˥˩ rɔːŋ˧ tʰaːw˦˥
รัฎฐ	rat̚˦˥ tʰɔː˩˩˦
ง่าว	ŋaːw˥˩
เบตตี้	beː˧ ta˨˩ tiː˥˩
การตัดตอน	kaːn˧ tat̚˨˩ tɔːn˧
อฟิลด์	
แมตเตอร์ส	mɛː˧ ta˨˩ tɤː˧
เออร์เล	ʔɤː˧ leː˧
ณาศัย	naː˧ saj˩˩˦
ดูทีท่า	duː˧ tʰiː˧ tʰaː˥˩
เจ้าเล่ห์แสนกล	tɕaːw˥˩ leː˥˩ sɛːn˩˩˦ kon˧
ด้าร	daːn˥˩
คัมภิ	kʰam˧ pʰiʔ˦˥
สปิลเบิร์ก	sa˨˩ pin˧ bɤːk̚˨˩
นักแสดงกายกรรม	nak̚˦˥ sa˨˩ dɛːŋ˧ kaːj˧ ja˦˥ kam˧
ตรึงตรา	trɯŋ˧ traː˧
อเบร	ʔa˨˩ beːn˧
แอ็งกอญี	ʔɛŋ˧ kɔː˧ jiː˧
ฃอง	kʰɔːŋ˩˩˦
พิกซ์	pʰik̚˦˥
เชนด์	tɕʰeːn˧
เพ็ตซาวส์	pʰet̚˦˥ saːw˧
ซัมธิง	sam˧ tʰiŋ˧
ดัลบน	dan˧ bon˧
พล้อ	pʰlɔː˦˥
นิรโทษ	ni˦˥ ra˦˥ tʰoːt̚˥˩
เราซ์	raw˧
ซาวด์ส	saːw˧
วิจิน	wi˦˥ tɕin˧
ไอ้บ้า	ʔaj˥˩ baː˥˩
ร็อบซง	rɔp̚˦˥ soŋ˧
ษาคฤ	saː˩˩˦ kʰa˦˥ rɯʔ˦˥
เสียงเหน่อ	siaŋ˩˩˦ nɤː˨˩
เจ้าที่เจ้าทาง	tɕaːw˥˩ tʰiː˥˩ tɕaːw˥˩ tʰaːŋ˧
คอมฟ์	kʰɔːm˧
ฟน	fon˧
เฟร็ต	fret̚˦˥
เอิลส์	ʔɤːn˧
ซีคส์	siːk̚˥˩
อิ้งก์	ʔiŋ˥˩
สไม	sa˨˩ maj˩˩˦
อ๊า	ʔaː˦˥
บอสส์	bɔːt̚˨˩
เวสลี่ย์	weː˧ sa˨˩ liː˨˩
ธุต	tʰut̚˦˥
โพนทะนา	pʰoːn˧ tʰa˦˥ naː˧
ฮ่อยจ๊อ	hɔː˥˩
กระเถิบ	kra˨˩ tʰɤːp̚˨˩
เข้าไส้	kʰaw˥˩ saj˥˩
เล่พ	
หน่อมแน้ม	nɔːm˨˩ nɛːm˦˥
มีดปาดตาล	miː˧ taːn˧
ฟิวชั่นจน	fiw˧ tɕʰan˥˩ tɕon˧
นัตโตะ	nat̚˦˥ toʔ˨˩
จ๊าง	tɕaːŋ˦˥
กิ๋นจิ๊น	kiʔ˩˩˦
ธิเน	tʰi˦˥ neː˧
พิทท์	pʰit̚˦˥
มาร์ลเบรอ	maːn˧ ba˨˩ rɤː˧
เบทนอร์ซ	beː˧ tʰa˦˥ nɔːt̚˥˩
วิทช์	wit̚˦˥
นีคัส	niː˧ kʰat̚˦˥
ปิคัส	pi˨˩ kʰat̚˦˥
คาร์บอนมอนนอกไซด์	kʰaː˧ bɔːn˧ mɔː˧ saj˧
กุ๊บ	kup̚˦˥
ฉลัก	tɕʰa˨˩ lak̚˨˩
อ๊อปชั่น	ʔɔːp̚˦˥ tɕʰan˥˩
เต็มเสียง	tem˧ siaŋ˩˩˦
ครอเนียส	kʰrɔː˧ niat̚˥˩
แม่ยั่วเมือง	mɛː˥˩ jua˥˩ mɯaŋ˧
โม๊ะ	
อนารยะ	ʔa˨˩ naː˧ ra˦˥ jaʔ˦˥
ศะรถ	sa˨˩ rot̚˦˥
ขวัญหนีดีฝ่อ	kʰwan˩˩˦ niː˩˩˦ diː˧ fɔː˨˩
ฮุ่น	hun˥˩
เสียหนัก	sia˩˩˦ nak̚˨˩
เกร็น	kren˧
เกิก	kɤːk̚˨˩
สเตียเนีย	sɔː˩˩˦ tia˧ nia˧
ยกตนข่มท่าน	ja˦˥ kot̚˨˩ tʰan˥˩
สแคร็ท	sɔː˩˩˦ kʰrɛt̚˦˥
คนละทิศคนละทาง	kʰon˧ la˦˥ tʰit̚˦˥ kʰon˧ la˦˥ tʰaːŋ˧
กังกะ	kaŋ˧ kaʔ˨˩
เลมนอส	leː˧ ma˦˥ nɔːt̚˥˩
ดึ๋ย	dɯj˩˩˦
หทย	hɔː˩˩˦ tʰa˦˥ jaʔ˦˥
อุจเฉท	ʔut̚˨˩ tɕʰeːt̚˨˩
กัสตัญโญ	kat̚˨˩ tan˧ joː˧
วยัตส	wa˦˥ jat̚˦˥ sɔː˩˩˦
กฎหมายปิดปาก	kot̚˨˩ maːj˩˩˦ pit̚˨˩ paːk̚˨˩
อัพภาน	ʔap̚˨˩ pʰaːn˧
สตัวร์	sa˨˩ taw˧
ฟิลลิปซ์	fin˧ lip̚˦˥
แด็ช	dɛt̚˨˩
ปข	pɔː˧ kʰɔː˩˩˦
เวอรส์	
ชิทช์	tɕʰit̚˦˥
เวสเทอร์	weː˧ sa˨˩ tʰɤː˧
โภชนศาสตร์	pʰoːt̚˥˩
ตรีพิธพรรณ	triː˧ pʰit̚˦˥ pʰan˧
เปอตีต์	peː˧ ʔa˨˩ tiː˧
ศยามล	sa˨˩ jaː˩˩˦ mon˧
เนติศึกษา	neː˧ ti˨˩ sɯk̚˨˩ saː˩˩˦
ปูจ๋า	puː˧ tɕaː˩˩˦
ฉีเจิ้น	tɕʰiː˩˩˦ tɕɤːn˥˩
รเรอร์	
ต่ายเนาว์คง	taːj˨˩ naw˧ kʰoŋ˧
มาร์เค็ต	maː˧ kʰet̚˦˥
เมียห์	mia˧
พวยน้ำ	pʰuaj˧ naːm˦˥
ข่งฉือ	kʰoŋ˨˩ tɕʰɯː˩˩˦
พึม	pʰɯm˧
นเลสส์	na˦˥ leːt̚˥˩
ช้างชนะงา	tɕʰaːŋ˦˥ tɕʰa˦˥ na˦˥ ŋaː˧
เปลาะ	plɔʔ˨˩
ล็อท	lɔt̚˦˥
อสม	ʔa˨˩ som˩˩˦
มุมตรง	mum˧ troŋ˧
รวินซ์	ra˦˥ win˧
เงิลน์	ŋɤːn˧
ใบหนาด	baj˧ naːt̚˨˩
คนใจร้าย	kʰon˧ tɕaj˧ raːj˦˥
กู๊ดมอร์	kuːt̚˦˥ mɔː˧
อแว็ง	ʔa˨˩ wɛŋ˧
คินรอสส์	kʰi˦˥ na˦˥ rɔːt̚˥˩
ฟ่าม	faːm˥˩
ประกฤติ	pra˨˩ krit̚˨˩
งวู	ŋɔː˧ wuː˧
ลอยเป็นแพ	lɔːj˧ pen˧ pʰɛː˧
สทอเรีย	sa˨˩ tʰɔː˧ ria˧
ไธออล	ʔon˧
รุมทึ้ง	ruʔ˦˥
รีล์ม	riː˧
อัลฟัล	ʔan˧ fan˧
บรูจส์	ba˨˩ ruːt̚˨˩
แม็คกอฟนีย์	mɛk̚˦˥ kɔːp̚˨˩ niː˧
สพรีสต์	sa˨˩ pʰriːt̚˥˩
ดตี้	
คีชอล	kʰiː˧ tɕʰɔːn˧
จาอ์ฟาร์	tɕaː˧ faː˧
เธลบอลด์	tʰeːn˧ bɔːn˧
พรรคพลังสังคม	pʰak̚˦˥ pʰa˦˥ laŋ˧ saŋ˩˩˦ kʰom˧
ขี้ฉ้อ	kʰiː˥˩ tɕʰɔː˥˩
แตร์แฟม	tɛː˧ fɛːm˧
เปเอีย	peː˧ ʔia˧
วคัม	wa˦˥ kʰam˧
เกกมะเหรก	keːk̚˨˩ ma˦˥ reːk̚˨˩
แค็มพ์	kʰɛm˧
อเฟ็ต	
เบเลง	beː˧ leːŋ˧
ภิกข	pʰik̚˦˥ kʰaʔ˨˩
อู๋เซียง	ʔuː˩˩˦ siaŋ˧
รอิพิ	pʰiʔ˦˥
ฟิบูลาร์	fi˦˥ buː˧ laː˧
เอาไม่อยู่	ʔaw˧ maj˥˩ juː˨˩
ลสก์	lot̚˦˥
อสส์ดอยท์ชลันด์	ʔot̚˨˩ dɔːj˧ lan˧
ผละออก	pʰla˨˩ ʔɔːk̚˨˩
ปริหาร	pa˨˩ ri˦˥ haːn˩˩˦
รื่ง	rɯːŋ˥˩
ผู้เฝ้าดู	pʰuː˥˩ faw˥˩ duː˧
เนชัลนัล	neː˧ tɕʰan˧ nan˧
วถิ	
โธดอกซ์	tʰoː˧ dɔːk̚˨˩
จักขุวิญญาณ	tɕak̚˨˩ kʰu˨˩ win˧ jaːn˧
ออร์เฟียส	ʔɔː˧ fiat̚˥˩
ชอร์ด	tɕʰɔːt̚˥˩
นเซี่ย	nɔː˧ sia˥˩
ขึ่้น	kʰɯn˨˩
แทรล	tʰrɛːn˧
วัฒณ	wat̚˦˥ tʰa˦˥ naʔ˦˥
ตั้งสัตย์ปฏิญาณ	taŋ˥˩ sat̚˨˩ pa˨˩ ti˨˩ jaːn˧
ชเชล	
ประคำดีควาย	pra˨˩ kʰam˧ diː˧ kʰwaːj˧
สปอลล์	sa˨˩ pɔːn˧
จย	tɕa˨˩ jaʔ˦˥
ห่วน	huan˨˩
ฮอคสมอร์	hɔːk̚˥˩ sa˨˩ mɔː˩˩˦
เปตล์	peːt̚˨˩
วาลล์	waːn˧
แตกเนื้อหนุ่ม	tɛːk̚˨˩ nɯa˦˥ num˨˩
ผู้ร้องทุกข์	pʰuː˥˩ rɔːŋ˦˥ tʰuk̚˦˥
น่าอิจฉา	naː˥˩ ʔit̚˨˩ tɕʰaː˩˩˦
วเซี๊ยะ	wɔː˧
ซ่วง	suaŋ˥˩
ปิเตอร์	pi˨˩ tɤː˥˩
โต๊ะกินข้าว	to˦˥ kin˧ kʰaːw˥˩
หนี้บุญคุณ	niː˥˩ bun˧ kʰun˧
ผ่านพบ	pʰaːn˨˩ pʰop̚˦˥
ลิปซ์	lip̚˦˥
สปินคิ๊ก	sa˨˩ piʔ˨˩
เซวียนถ่ง	swia˧
กอดเข่า	kɔːt̚˨˩ kʰaw˨˩
โคโยตี	kʰoː˧ joː˧ tiː˧
เทอร์เทอร์	tʰɤː˧ tʰɤː˧
มั้งค์	maŋ˦˥
อากรขาเข้า	ʔaː˧ kɔːn˧ kʰaː˩˩˦ kʰaw˥˩
กิคิดส์	ki˨˩ kʰit̚˦˥
ดสกัล	dot̚˨˩ kan˧
แดซ็อง	dɛː˧ sɔŋ˧
ตะวันชิงพลบ	ta˨˩ wan˧ tɕʰiŋ˧ pʰlop̚˦˥
ด็อท	dɔt̚˨˩
นาร์กเชอร์	naː˥˩
ปั๋วฝู	paw˩˩˦ fuː˩˩˦
ผ่าง	pʰaːŋ˨˩
โทะเซะ	tʰo˦˥ seʔ˦˥
กิมฮ้ง	kiʔ˨˩
เวหาส	weː˧ haːt̚˨˩
ซุลพิ	sun˧ pʰiʔ˦˥
ขาเขียด	kʰaː˩˩˦ kʰiat̚˨˩
เครื่องอัดเสียง	kʰrɯaŋ˥˩ ʔat̚˨˩ siaŋ˩˩˦
ศานติ์	saːn˩˩˦
ชพร	
ยค	jok̚˦˥
คลุกวงใน	kʰluk̚˦˥ woŋ˧ naj˧
ช็องช็อน	tɕʰɔŋ˧ tɕʰɔn˧
ว็อต	wɔt̚˦˥
ด็อคเตอร์	dɔk̚˨˩ tɤː˥˩
นเธอร์	na˦˥ tʰɤː˧
อิมแบร็คต์	ʔim˧ ba˨˩ rɛk̚˨˩
เหรียญกระษาปณ์	rian˩˩˦ kra˨˩ saːp̚˨˩
หลุมพี	lum˩˩˦ pʰiː˧
ครุศาสตรดุษฎีบัณฑิต	kʰa˦˥ ru˦˥ saːt̚˨˩ dut̚˨˩ sa˨˩ diː˧ ban˧ dit̚˨˩
ธุย	tʰuj˧
อัศศิ	ʔat̚˨˩ sa˨˩ siʔ˨˩
เลดส์	leːt̚˥˩
สแลนต์	sa˨˩ lɛːn˩˩˦
มูค	muːk̚˥˩
อัลแวร์	ʔan˧ wɛː˧
ชลเนตร	tɕʰon˧ la˦˥ neːt̚˥˩
โศภิน	soː˩˩˦ pʰin˧
ความเจ็บช้ำ	kʰwaːm˧ tɕep̚˨˩ tɕʰam˦˥
ม่านบังตา	maːn˥˩ baŋ˧ taː˧
แจนซ์	tɕɛːn˧
รูปภพ	ruːp̚˥˩ pʰop̚˦˥
เย็ต	jet̚˦˥
ลูกแหง่	luːk̚˥˩ ŋɛː˨˩
เฟกส์	feːk̚˥˩
ราสเบอร์รี	raː˧ sa˨˩ bɤː˧ riː˧
งอู๋	ŋɔː˧ ʔuː˩˩˦
ชับปุยส์	tɕʰap̚˦˥ puj˧
ฟะนี	fa˦˥ niː˧
คอมเม้นท์	kʰɔː˧ ma˦˥ meːn˦˥
คิณี	kʰi˦˥ niː˧
เจ็บปวดรวดร้าว	tɕep̚˨˩ puat̚˨˩ ruat̚˥˩ raːw˦˥
เขียบ	kʰiap̚˨˩
พัดลมดูดอากาศ	pʰat̚˦˥ lom˧ duːt̚˨˩ ʔaː˧ kaːt̚˨˩
เลสก์	leːt̚˥˩
ห้องกินข้าว	hɔːŋ˥˩ kin˧ kʰaːw˥˩
บฎ	bot̚˨˩
ดูว์ฌาร์แด็ง	duː˧ tɕʰaː˧ dɛŋ˧
เซิร์ทชีลด์	sɤːt̚˥˩ tɕʰiːn˧
ลูกหมู่	luːk̚˥˩ muː˨˩
เซิร์ม	sɤːm˧
เซาธ์เทิร์นวอชท์	saw˧ tʰɤːn˧ wɔːt̚˥˩
จี้เส้น	tɕiː˥˩ seːn˥˩
ต้าวจง	taː˥˩ wa˦˥ tɕoŋ˧
ทเว็นตี้	tʰa˦˥ wen˧ tiː˥˩
บลูมส์บ	bluːm˧
กอดอก	kɔːt̚˨˩ ʔok̚˨˩
ว็อบ	wɔp̚˦˥
ดีทซ์	diːt̚˨˩
ชินแซทเทลไลท์	tɕʰi˦˥ tʰeːn˧ laj˧
แตงก์	tɛːŋ˧
ธนาฒย์	tʰa˦˥ naːt̚˥˩
วนันดร	wa˦˥ nan˧ dɔːn˧
กระปรอก	kra˨˩ prɔːk̚˨˩
ฝักถั่ว	fak̚˨˩ tʰua˨˩
คริสเทน	kʰrit̚˦˥ tʰeːn˧
รู้ระแคะระคาย	ruː˦˥ ra˦˥ kʰɛ˦˥ ra˦˥ kʰaːj˧
รู๊ก	
กะทั่ง	ka˨˩ tʰaŋ˥˩
ลห	lɔː˧ hɔː˩˩˦
ลาร์ท	laːt̚˥˩
รอท่า	rɔː˧ tʰaː˥˩
แตกแถว	tɛːk̚˨˩ tʰɛːw˩˩˦
เข้าเจ้า	kʰaw˥˩ tɕaːw˥˩
ปเพนด์	
เอร์เซีย	ʔeː˧ sia˧
แหยง	jɛːŋ˩˩˦
ยักขินี	jak̚˦˥ kʰi˨˩ niː˧
ธัต	tʰat̚˦˥
ปอร์ท	pɔːt̚˨˩
เต็มแก่	tem˧ kɛː˨˩
เวทางค์	weː˧ tʰaːŋ˧
ยนยน	jon˧ jon˧
ทเติล	
พ้าน	pʰaːn˦˥
สต๊อค	sa˨˩ tɔːk̚˦˥
เผอเรอ	pʰɤː˩˩˦ rɤː˧
ขันเชิง	kʰan˩˩˦ tɕʰɤːŋ˧
เป็นรายตัว	pen˧ raːj˧ tua˧
มะรุมมะตุ้ม	ma˦˥ rum˧ ma˦˥ tum˥˩
เอือน	ʔɯan˧
ฝนทอง	fon˩˩˦ tʰɔːŋ˧
สกายไฮ	sa˨˩ kaː˧
รถเทรลเลอร์	rot̚˦˥ tʰreːn˧ lɤː˧
กิลดาส์	ki˨˩ la˦˥ daː˧
ลไลซ์	la˦˥ laj˧
สปริงค์	sop̚˨˩ riŋ˧
ฉัททันตหัตถี	tɕʰat̚˨˩ tʰan˧ tʰiː˩˩˦
ญานี	jaː˧ niː˧
ลิ้นควาย	lin˦˥ kʰwaːj˧
ลิ้นเสือ	lin˦˥ sɯa˩˩˦
คเณย์	kʰa˦˥ neː˧
พชรพล	pʰon˧
เหลียงห	liaŋ˩˩˦ hɔː˩˩˦
เตนต์	teːn˧
สเปราส์	sa˨˩ peː˧ raː˧
กแตร์	ka˨˩ tɛː˧
กุญแจรหัส	kun˧ tɕɛː˧ ra˦˥ hat̚˨˩
ตะลุ่ม	ta˨˩ lum˥˩
กาฮ์	kaː˧
ฟาฮ์	faː˧
วี่เจิน	wiː˥˩ tɕɤːn˧
รูห์น	ruː˧
ซ่านเซ็น	saːn˥˩ sen˧
ตัณฑ์	tan˧
ดีทแฮล์ม	diː˧
เทอร์เรลล์	tʰɤː˧ reːn˧
พลำภัง	pʰlam˧ pʰaŋ˧
นมยูเอชที	nom˧ juː˧ ʔeːt̚˨˩ tʰiː˧
ฝากตน	faːk̚˨˩ ton˧
ชจน	
คิสคิส	kʰi˦˥ sa˨˩ kʰit̚˦˥
โค้ดลับ	kʰoːt̚˦˥ lap̚˦˥
มั่นใจตัวเอง	man˥˩ tɕaj˧ tua˧ ʔeːŋ˧
ซายล์	saːj˧
มัชฌ	mat̚˦˥ tɕʰɔː˧
โจโดะ	tɕoː˧ doʔ˨˩
ขนม์	kʰon˩˩˦
เช่อเจิ้ง	tɕʰɤː˥˩ tɕɤːŋ˥˩
รุกส์	ruk̚˦˥
กรานท์	kraːn˧
บลิสส์	blit̚˨˩
ความมัวหมอง	kʰwaːm˧ mua˧ mɔːŋ˩˩˦
ฉึก	tɕʰɯk̚˨˩
ดุยส์บวร์ก	duj˧ kɔː˧
ตะกูด	ta˨˩ kuːt̚˨˩
เรินส์	rɤːn˧
นโญ	
กลิทซ์	ka˨˩ lit̚˨˩
เยาวน์	jaw˧ waʔ˦˥
หิณี	hi˨˩ niː˧
เมสส์	meːt̚˥˩
วเดอร์ฟิงเกอร์	wa˦˥ dɤː˧ fiŋ˧ kɤː˧
บูมงต์	buː˧ moŋ˧
ฉาบหน้า	tɕʰaːp̚˨˩ naː˥˩
ขยี้ตา	kʰa˨˩ jiː˥˩ taː˧
เล็ปเพิร์ด	lep̚˦˥ pʰɤːt̚˥˩
เกลียวกลม	kliaw˧ klom˧
ชาร์พ	tɕʰaːp̚˥˩
กินแหนงแคลงใจ	kin˧ nɛːŋ˩˩˦ kʰlɛːŋ˧ tɕaj˧
การสอบปากเปล่า	kaːn˧ sɔːp̚˨˩ paːk̚˨˩ plaw˨˩
เบรธิล	beː˧
ป๋ง	poŋ˩˩˦
เวสเตร์	weː˧ sa˨˩ teː˧
งเฮย์	ŋɔː˧ heː˧
เมานท์แบ็ตเต็น	maw˧ bɛt̚˨˩ ten˧
แก้วเสียง	kɛːw˥˩ siaŋ˩˩˦
กูร์ญิก	kuː˧ jik̚˦˥
กุ๊ด	kut̚˦˥
แปล็กซ์	plɛk̚˨˩
โยกคลอน	joːk̚˥˩ kʰlɔːn˧
กริ๊นช์	ka˨˩ rin˦˥
กเก็ต	
สเตอร์ฮอฟฟ์	sa˨˩ tɤː˧ hɔːp̚˥˩
ยึ	jɯʔ˦˥
อิเล็คต	ʔi˨˩ lek̚˦˥ tɔː˧
อัลยัส	ʔan˧ jat̚˦˥
ปลงตก	ploŋ˧ tok̚˨˩
ดอว์ส	dɔːt̚˨˩
แพรส์	pʰɛːn˧
ก๊าบ	kaːp̚˦˥
ฮันค	han˧ kʰɔː˧
วืง	wɯːŋ˧
ร่วมเป็นร่วมตาย	ruam˥˩ pen˧ ruam˥˩ taːj˧
แอ็กแท็คเกอร์	ʔɛk̚˨˩ tʰɛk̚˦˥ kɤː˧
สลบไสล	sa˨˩ lop̚˨˩ sa˨˩ laj˩˩˦
ณาสตร์	naːt̚˥˩
เศรษฐีใหม่	seːt̚˨˩ tʰiː˩˩˦ maj˨˩
ควอไล	kʰwɔː˧ laj˧
ความเพียบพร้อม	kʰwaːm˧ pʰiap̚˥˩ pʰrɔːm˦˥
เด็ปป์	dep̚˨˩
กระดากอาย	kra˨˩ daːk̚˨˩ ʔaːj˧
ตั้งเข็ม	taŋ˥˩ kʰem˩˩˦
แก้มตอบ	kɛː˥˩ ma˦˥ tɔːp̚˨˩
โทษา	tʰoː˧ saː˩˩˦
สกิฟเฟิล	sa˨˩ kip̚˨˩ fɤːn˧
ธันญ์	tʰan˧
หนึ้ง	nɯŋ˥˩
ชไลเฟอ	tɕʰa˦˥ laj˧ fɤː˧
ต้าซือหนง	taː˥˩ sɯː˧ noŋ˩˩˦
บูยงกุ๋น	buː˧ joŋ˧ kun˩˩˦
เขนง	kʰa˨˩ neːŋ˩˩˦
จากหลบ	tɕaːk̚˨˩ lop̚˨˩
อิ้นห	ʔin˥˩ hɔː˩˩˦
คัวร์	kʰaw˧
เญเม็ตส์	jeː˧ met̚˦˥
ลอว	lɔːw˧
เมาด์	maw˧
อิลลัลลอฮ์	ʔi˨˩ la˦˥ lan˧ lɔː˧
ชเปน	
โจ่ง	tɕoːŋ˨˩
ไผ่ไร่	pʰaj˨˩ raj˥˩
บือยืกเคิก	bɯː˧ jɯːk̚˥˩ kʰɤːk̚˥˩
หนึ	nɯʔ˨˩
ดฟ	dɔː˧ fɔː˧
จานแม่เหล็ก	tɕaːn˧ mɛː˥˩ lek̚˨˩
เงินปากผี	ŋɤn˧ paːk̚˨˩ pʰiː˩˩˦
กินไม่ลง	kin˧ maj˥˩ loŋ˧
ฟิงซ์	fiŋ˧
เฉิงจ้ง	tɕʰɤːŋ˩˩˦ tɕoŋ˥˩
วกั๋ว	wa˦˥ kaw˩˩˦
ยพบ	
ผู้ดีมีสกุล	pʰuː˥˩ diː˧ miː˧ sa˨˩ kun˧
คู่ชื่น	kʰuː˥˩ tɕʰɯːn˥˩
ทิคัม	tʰi˦˥ kʰam˧
เบนโล	beːn˧ loː˧
แจกซ์	tɕɛːk̚˨˩
เอ็นจีวี	ʔen˧ tɕiː˧ wiː˧
ใจบาปหยาบช้า	tɕaj˧ baːp̚˨˩ jaːp̚˨˩ tɕʰaː˦˥
พิเธ	pʰi˦˥ tʰeː˧
ฟุ่ง	fuŋ˥˩
เฮ็งก์	heŋ˧
ตรีโกณ	triː˧ koːn˧
ชลู	tɕʰa˦˥ luː˧
ลุกลี้ลุกลน	luk̚˦˥ liː˦˥ luk̚˦˥ lon˧
ออร์บดาร์ค	ʔɔː˧ ba˨˩ daːk̚˨˩
ยัชญะ	jat̚˦˥ jaʔ˦˥
ม่ำ	mam˥˩
สทอฟ	sa˨˩ tʰɔːp̚˥˩
แอ็ฟเป	ʔɛp̚˨˩ peː˧
เฟียล	fian˧
รธะ	
ยื่อ	jɯː˥˩
ซุกด์	suk̚˦˥
โยด	joːt̚˥˩
ต้าเผิง	taː˥˩ pʰɤːŋ˩˩˦
รไล	
พอเหมาะพอควร	pʰɔː˧ mɔ˨˩ pʰɔː˧ kʰuan˧
อืมม์	ʔɯːm˧
วิลย	win˧ jɔː˧
