ใน	naj˧
ออ	ʔɔː˧
คู่	kʰuː˥˩
สัตว์	sat̚˨˩
อินเดีย	ʔin˧ dia˧
ต่อไป	tɔː˨˩ paj˧
แม้	mɛː˦˥
ก่อตั้ง	kɔː˨˩ taŋ˥˩
โฮ	hoː˧
บิดา	bi˨˩ daː˧
เข้าสู่	kʰaw˥˩ suː˨˩
รัก	rak̚˦˥
ก่อ	kɔː˨˩
ละ	laʔ˦˥
ในขณะที่	naj˧ kʰa˨˩ na˨˩ tʰiː˥˩
ใบ	baj˧
แข่งขัน	kʰɛŋ˨˩ kʰan˩˩˦
ออกแบบ	ʔɔːk̚˨˩ bɛːp̚˨˩
ซ	sɔː˧
เพื่อให้	pʰɯa˥˩ haj˥˩
ใกล้	klaj˥˩
ห้อง	hɔŋ˥˩
เหมือน	mɯan˩˩˦
มณฑล	mon˧ tʰon˧
ต้น	ton˥˩
เกิน	kɤːn˧
วี	wiː˧
ปลาย	plaːj˧
อำนาจ	ʔam˧ naːt̚˥˩
เปิดตัว	pɤːt̚˨˩ tua˧
ประตู	pra˨˩ tuː˧
สังคม	saŋ˩˩˦ kʰom˧
ทราบ	saːp̚˥˩
จัดตั้ง	tɕat̚˨˩ taŋ˥˩
บันทึก	ban˧ tʰɯk̚˦˥
ปา	paː˧
หมู่	muː˨˩
ขาว	kʰaːw˩˩˦
งา	ŋaː˧
พยายาม	pʰa˦˥ jaː˧ jaːm˧
ยิง	jiŋ˧
นก	nok̚˦˥
อาชีพ	ʔaː˧ tɕʰiːp̚˥˩
แปล	plɛː˧
วิธี	wi˦˥ tʰiː˧
วาง	waːŋ˧
ยก	jok̚˦˥
นิยม	ni˦˥ jom˧
ควบคุม	kʰuap̚˥˩ kʰum˧
คอ	kʰɔː˧
ดาว	daːw˧
มักจะ	mak̚˦˥ tɕaʔ˨˩
ท่า	tʰaː˥˩
ประธาน	pra˨˩ tʰaːn˧
อักษร	ʔak̚˨˩ sɔːn˩˩˦
พม่า	pʰa˦˥ maː˥˩
สมาชิกสภาผู้แทนราษฎร	sa˨˩ maː˧ tɕʰik̚˦˥ sa˨˩ pʰaː˧ pʰuː˥˩ tʰɛːn˧ raːt̚˥˩ sa˨˩ dɔːn˧
ต้องการ	tɔŋ˥˩ kaːn˧
ข้อ	kʰɔː˥˩
กฎหมาย	kot̚˨˩ maːj˩˩˦
หมู่บ้าน	muː˨˩ baːn˥˩
จนกระทั่ง	tɕon˧ kra˨˩ tʰaŋ˥˩
ดินแดน	din˧ dɛːn˧
สัน	san˩˩˦
โดยเฉพาะ	doːj˧ tɕʰa˨˩ pʰɔʔ˦˥
เป็นต้น	pen˧ ton˥˩
ตัวละคร	tua˧ la˦˥ kʰɔːn˧
เชื่อ	tɕʰɯa˥˩
